numeor epoch;batch_size;nb_epochs;learning_rate;input_size;hidden_size;output_size;weight_init_range;Training Loss;Validation Loss;Test Loss;Accuracy
4;4;10;0,0075;784;128;10;(-0,001, 0,001);0,164402661;0,153873254;0,149681442;95,58571429
5;4;10;0,0075;784;128;10;(-0,001, 0,001);0,136654268;0,140775743;0,135105211;95,98571429
6;4;10;0,0075;784;128;10;(-0,001, 0,001);0,11723174;0,125679176;0,117249632;96,6
7;4;10;0,0075;784;128;10;(-0,001, 0,001);0,102299226;0,115725662;0,11011353;96,85714286
8;4;10;0,0075;784;128;10;(-0,001, 0,001);0,090606487;0,11061717;0,105230448;96,8
9;4;10;0,0075;784;128;10;(-0,001, 0,001);0,081270303;0,100734918;0,095362777;97,08571429
10;4;10;0,0075;784;128;10;(-0,001, 0,001);0,073097283;0,096892716;0,092019619;97,25714286
1;5;10;0,0075;784;128;10;(-0,001, 0,001);0,819375109;0,341111237;0,325906339;90,81428571
2;5;10;0,0075;784;128;10;(-0,001, 0,001);0,300885398;0,25406886;0,244367227;92,94285714
3;5;10;0,0075;784;128;10;(-0,001, 0,001);0,237492256;0,215349726;0,21020629;93,75714286
4;5;10;0,0075;784;128;10;(-0,001, 0,001);0,19729447;0,182793079;0,181427057;94,52857143
5;5;10;0,0075;784;128;10;(-0,001, 0,001);0,168168585;0,160949316;0,156409575;95,5
6;5;10;0,0075;784;128;10;(-0,001, 0,001);0,146233434;0,14639512;0,142940454;95,91428571
7;5;10;0,0075;784;128;10;(-0,001, 0,001);0,128928078;0,139837571;0,135973345;95,87142857
8;5;10;0,0075;784;128;10;(-0,001, 0,001);0,115075614;0,12967778;0,126055689;96,15714286
9;5;10;0,0075;784;128;10;(-0,001, 0,001);0,103312373;0,117932653;0,113152487;96,61428571
10;5;10;0,0075;784;128;10;(-0,001, 0,001);0,094247746;0,11166739;0,105854266;96,75714286
1;2;10;0,01;784;128;10;(-0,001, 0,001);0,444457134;0,207165806;0,189232169;94,35714286
2;2;10;0,01;784;128;10;(-0,001, 0,001);0,168715463;0,143352199;0,130833675;96
3;2;10;0,01;784;128;10;(-0,001, 0,001);0,11854922;0,132396905;0,122622019;96,4
4;2;10;0,01;784;128;10;(-0,001, 0,001);0,093571128;0,106730198;0,091489127;97,05714286
5;2;10;0,01;784;128;10;(-0,001, 0,001);0,07679414;0,10881034;0,099952909;96,85714286
6;2;10;0,01;784;128;10;(-0,001, 0,001);0,065099581;0,094905352;0,083726172;97,54285714
7;2;10;0,01;784;128;10;(-0,001, 0,001);0,053750032;0,101108189;0,088615049;97,21428571
8;2;10;0,01;784;128;10;(-0,001, 0,001);0,047741979;0,10113148;0,084432193;97,25714286
9;2;10;0,01;784;128;10;(-0,001, 0,001);0,041161269;0,096335234;0,075385952;97,72857143
10;2;10;0,01;784;128;10;(-0,001, 0,001);0,036217506;0,096502071;0,080183603;97,47142857
1;3;10;0,01;784;128;10;(-0,001, 0,001);0,5366056;0,267475224;0,25339665;92,58571429
2;3;10;0,01;784;128;10;(-0,001, 0,001);0,203548807;0,186277074;0,171830935;95,1
3;3;10;0,01;784;128;10;(-0,001, 0,001);0,146225463;0,154323476;0,137303694;96,04285714
4;3;10;0,01;784;128;10;(-0,001, 0,001);0,113990374;0,131048823;0,10999904;96,62857143
5;3;10;0,01;784;128;10;(-0,001, 0,001);0,093549037;0,127570354;0,110673077;96,57142857
6;3;10;0,01;784;128;10;(-0,001, 0,001);0,078777507;0,116705325;0,097938854;96,84285714
7;3;10;0,01;784;128;10;(-0,001, 0,001);0,067694857;0,103655151;0,086973682;97,42857143
8;3;10;0,01;784;128;10;(-0,001, 0,001);0,058997371;0,101004482;0,087129612;97,31428571
9;3;10;0,01;784;128;10;(-0,001, 0,001);0,052135579;0,103403074;0,086954381;97,31428571
10;3;10;0,01;784;128;10;(-0,001, 0,001);0,0457165;0,099935106;0,079643925;97,42857143
1;4;10;0,01;784;128;10;(-0,001, 0,001);0,614904253;0,286003506;0,267513213;92,01428571
2;4;10;0,01;784;128;10;(-0,001, 0,001);0,230674226;0,199394658;0,187760216;94,57142857
3;4;10;0,01;784;128;10;(-0,001, 0,001);0,171852697;0,170588783;0,154493788;95,58571429
4;4;10;0,01;784;128;10;(-0,001, 0,001);0,137696515;0,142268491;0,127811533;96,5
5;4;10;0,01;784;128;10;(-0,001, 0,001);0,11503797;0,12745375;0,112729976;96,82857143
6;4;10;0,01;784;128;10;(-0,001, 0,001);0,098529417;0,118773204;0,106057523;96,88571429
7;4;10;0,01;784;128;10;(-0,001, 0,001);0,086220056;0,116584914;0,102121341;96,91428571
8;4;10;0,01;784;128;10;(-0,001, 0,001);0,076524634;0,108035023;0,093066071;97,25714286
9;4;10;0,01;784;128;10;(-0,001, 0,001);0,067898646;0,104204203;0,0894117;97,37142857
10;4;10;0,01;784;128;10;(-0,001, 0,001);0,061088408;0,105380311;0,094243552;97,1
