"numero epoch","batch_size","nb_epochs","learning_rate","input_size","hidden_size","output_size","weight_init_range","Training Loss","Validation Loss","Test Loss","Accuracy",""
"7","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.10087912896981","0.12402992395835","0.11027683248976","96.614285714286",""
"8","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.084426215882258","0.13086281131397","0.11598865103803","96.657142857143",""
"9","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.069087409609826","0.11491282992774","0.1019584262155","96.957142857143",""
"10","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.059903122568623","0.10573859155482","0.091448360298855","97.271428571429",""
"1","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3019662704922","2.300877017218","2.3016913225991","10.842857142857",""
"2","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3012989055164","2.3007825169109","2.3015966478075","10.842857142857",""
"3","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3013371037396","2.3006232418711","2.3015496912002","10.842857142857",""
"4","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.2996240527005","2.2887166656388","2.2899441802161","10.842857142857",""
"5","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.1001195013103","1.9449857333066","1.9536430498958","24.171428571428",""
"6","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","1.8217469601197","1.6293028142847","1.6298770299234","41.4",""
"7","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","1.3714890040829","1.114361917773","1.1009477599189","58.185714285714",""
"8","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","0.88052078560991","0.66058521555515","0.63681718114591","80.9",""
"9","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","0.52679016211524","0.42937848226712","0.4144707714574","88",""
"10","2","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","0.37204958063169","0.33741379203367","0.32762810718368","90.314285714286",""
"1","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3018686314566","2.300763197229","2.3014668638929","10.842857142857",""
"2","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3014161500335","2.3006084668636","2.3015920967757","10.842857142857",""
"3","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3013758732875","2.3005700522945","2.3017061558562","10.842857142857",""
"4","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.301392890442","2.3006052165372","2.3015184124617","10.842857142857",""
"5","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3013858850087","2.3005537197703","2.3015640239585","10.842857142857",""
"6","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3013642187488","2.3005469601495","2.3016287955649","10.842857142857",""
"7","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3013552992542","2.3004977155299","2.3015370929762","10.842857142857",""
"8","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.3012185225316","2.3002437910012","2.3013154727941","10.842857142857",""
"9","3","10","0.001","784","(256, 256)","10","(-0,001, 0,001)","2.2988728559159","2.2895476077284","2.2906817931238","10.842857142857",""
